Instance,GraphType, n , p , R , r ,obj_NL,Time_NL,gap_NL,C_NL,obj_IP1,numcuts_IP1,TotalT_IP1,GAP_IP1,C_IP1,obj_IP2 ,numcuts_IP2 ,TotalT_IP2,GAP_IP2,C_IP2
eilon20_1 , Comp ,20,10,0.1,0.5,12,3600.006047,0.083333," [[10, 12], [6, 13], [16], [17], [3], [2], [18], [11], [8], [1]]",12,0,0.528796,0," [[3, 8], [17], [10, 12], [2], [16], [11], [1], [6], [18], [13]]",12,0,0.526528,0," [[3, 8], [17], [10, 12], [2], [16], [11], [1], [6], [18], [13]]"
eilon20_2 , Comp ,20,10,0.1,0.5,13,3600.006467,0.076923," [[6], [4, 16], [8, 14], [7], [13], [10, 17], [0], [1], [3], [2]]",12,1,0.605886,0," [[11, 13], [18], [8], [6], [4], [16], [2], [14], [7], [10, 17]]",12,1,0.555054,0," [[11, 13], [18], [8], [6], [4], [16], [2], [14], [7], [10, 17]]"
eilon20_3 , Comp ,20,10,0.1,0.5,12,3600.012821,0.083333," [[0], [7], [4], [9], [3], [14], [17], [5], [8, 11, 16], [18]]",12,0,0.463629,0," [[19], [3], [7, 12], [18], [16], [8], [4], [17], [9], [5, 11]]",12,0,0.437507,0," [[19], [3], [7, 12], [18], [16], [8], [4], [17], [9], [5, 11]]"
eilon20_4 , Comp ,20,10,0.1,0.5,12,3600.006776,0.083333," [[18], [11], [0], [9, 10], [7, 14], [19], [1], [6], [3], [12]]",12,0,0.483386,0," [[6], [18], [19], [14], [7], [3], [0, 9, 10], [12], [1], [11]]",12,0,0.470808,0," [[6], [18], [19], [14], [7], [3], [0, 9, 10], [12], [1], [11]]"
eilon20_5 , Comp ,20,10,0.1,0.5,0,1415.262028,1, [],0,0,0.477884,1, [],0,0,0.464041,1, []
eilon20_1 , Comp ,20,2,0.2,0.3,11,0.448151,0," [[1, 2, 18], [3, 6, 8, 10, 12, 13, 16, 17]]",11,9,0.252051,0," [[11, 17, 18], [2, 3, 6, 8, 10, 12, 13, 16]]",11,9,0.270704,0," [[11, 17, 18], [2, 3, 6, 8, 10, 12, 13, 16]]"
eilon20_2 , Comp ,20,2,0.2,0.3,12,0.369874,0," [[2, 4, 9, 10, 11, 13, 16, 17, 18], [7, 8, 14]]",12,0,0.131536,0," [[7, 8, 14, 16], [2, 4, 9, 10, 11, 13, 17, 18]]",12,0,0.133506,0," [[7, 8, 14, 16], [2, 4, 9, 10, 11, 13, 17, 18]]"
eilon20_3 , Comp ,20,2,0.2,0.3,12,0.436175,0," [[4, 5, 8, 11, 16, 17], [0, 1, 9, 13, 14, 18]]",12,0,0.103149,0," [[0, 1, 9, 13, 14, 18], [4, 5, 8, 11, 16, 17]]",12,0,0.109128,0," [[0, 1, 9, 13, 14, 18], [4, 5, 8, 11, 16, 17]]"
eilon20_4 , Comp ,20,2,0.2,0.3,11,0.36557,0," [[0, 3, 9, 10, 19], [1, 6, 7, 12, 14, 18]]",11,0,0.089895,0," [[1, 6, 7, 12, 14, 18], [0, 3, 9, 10, 19]]",11,0,0.094871,0," [[1, 6, 7, 12, 14, 18], [0, 3, 9, 10, 19]]"
eilon20_5 , Comp ,20,2,0.2,0.3,9,0.510236,0," [[5, 7, 11, 13, 14], [0, 1, 4, 17]]",9,0,0.103973,0," [[1, 4, 17], [0, 5, 7, 11, 13, 14]]",9,0,0.114751,0," [[1, 4, 17], [0, 5, 7, 11, 13, 14]]"
